day,entity,product,payment_method,anticipation_method,installments,monthly_tier,amount_transacted,fee_rate,fee_revenue
2025-01-01,PJ,pix,pix,Pix,1,>80000,546030.68,0.0,0.0
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,574568.13,0.0298,17122.130274
2025-01-01,PJ,tap,credit,D0/Nitro,1,>80000,342178.87,0.0599,20496.514313
2025-01-01,PJ,tap,debit,D1Anticipation,1,<=20000,1183.21,0.0157,18.576397
2025-01-01,PJ,tap,credit,D0/Nitro,1,<=20000,10158.11,0.0599,608.4707890000001
2025-01-01,PF,pos,credit,D1Anticipation,1,20001-40000,21091.2,0.0318,670.7001600000001
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,937656.46,0.0298,27942.162507999998
2025-01-01,PF,link,credit,D1Anticipation,1,>80000,179109.81,0.042,7522.6120200000005
2025-01-01,PJ,tap,debit,D1Anticipation,1,<=20000,17833.09,0.0157,279.979513
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,368073.8,0.0298,10968.59924
2025-01-01,PJ,link,credit,D0/Nitro,1,>80000,90199.56,0.0549,4951.955844
2025-01-01,PF,pos,debit,D0/Nitro,1,<=20000,19416.25,0.0279,541.713375
2025-01-01,PJ,tap,debit,D1Anticipation,1,<=20000,5863.04,0.0157,92.04972799999999
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,930759.29,0.0094,8749.137326
2025-01-01,PJ,tap,credit,D1Anticipation,1,>80000,527122.43,0.0298,15708.248414000002
2025-01-01,PJ,bank_slip,bank_slip,BankSlip,1,20001-40000,34587.57,0.0,0.0
2025-01-01,PJ,tap,credit,D0/Nitro,1,<=20000,1095.26,0.0599,65.606074
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,2659934.62,0.0298,79266.051676
2025-01-01,PJ,pos,debit,D0/Nitro,1,<=20000,16029.07,0.0279,447.211053
2025-01-01,PJ,link,credit,D1Anticipation,1,<=20000,19246.12,0.042,808.33704
2025-01-01,PJ,link,credit,D0/Nitro,1,<=20000,531.86,0.0549,29.199113999999998
2025-01-01,PJ,tap,credit,D0/Nitro,1,<=20000,226.21,0.0599,13.549979
2025-01-01,PJ,link,credit,D1Anticipation,1,<=20000,18916.19,0.042,794.47998
2025-01-01,PJ,pix,pix,Pix,1,>80000,5460676.67,0.0,0.0
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,4638274.62,0.0094,43599.781428
2025-01-01,PF,tap,debit,D1Anticipation,1,>80000,565775.14,0.0094,5318.286316000001
2025-01-01,PF,pos,debit,D1Anticipation,1,40001-80000,42976.59,0.0099,425.468241
2025-01-01,PF,pos,credit,D0/Nitro,1,<=20000,8315.97,0.0599,498.126603
2025-01-01,PJ,tap,credit,D1Anticipation,1,40001-80000,51711.64,0.0308,1592.7185120000001
2025-01-01,PF,bank_slip,bank_slip,BankSlip,1,40001-80000,52109.9,0.0,0.0
2025-01-01,PJ,tap,debit,D0/Nitro,1,<=20000,6144.56,0.0279,171.43322400000002
2025-01-01,PF,tap,credit,D1Anticipation,1,<=20000,7492.22,0.0344,257.732368
2025-01-01,PF,tap,credit,D1Anticipation,1,<=20000,3098.85,0.0344,106.60043999999999
2025-01-01,PJ,tap,credit,D1Anticipation,1,>80000,100129.89,0.0298,2983.870722
2025-01-01,PF,tap,credit,D0/Nitro,1,<=20000,659.0,0.0599,39.4741
2025-01-01,PJ,link,credit,D1Anticipation,1,<=20000,11226.51,0.042,471.51342000000005
2025-01-01,PF,tap,debit,D0/Nitro,1,>80000,2025293.62,0.0279,56505.691998
2025-01-01,PJ,link,credit,D1Anticipation,1,>80000,122406.13,0.042,5141.057460000001
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,1674530.51,0.0094,15740.586794
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,524579.78,0.0094,4931.049932000001
2025-01-01,PF,tap,credit,D1Anticipation,1,>80000,2123212.34,0.0298,63271.727732
2025-01-01,PJ,pos,debit,D0/Nitro,1,>80000,1334837.3,0.0279,37241.96067
2025-01-01,PJ,link,credit,D0/Nitro,1,<=20000,6471.86,0.0549,355.30511399999995
2025-01-01,PF,tap,credit,D0/Nitro,1,>80000,3967225.65,0.0599,237636.81643500002
2025-01-01,PJ,tap,debit,D0/Nitro,1,>80000,183912.09,0.0279,5131.147311
2025-01-01,PJ,pos,credit,D0/Nitro,1,<=20000,13483.54,0.0599,807.6640460000001
2025-01-01,PJ,tap,credit,D1Anticipation,1,>80000,107367.32,0.0298,3199.5461360000004
2025-01-01,PJ,pos,credit,D0/Nitro,1,40001-80000,67894.97,0.0599,4066.908703
2025-01-01,PF,link,credit,D0/Nitro,1,>80000,362730.21,0.0549,19913.888529
2025-01-01,PF,pix,pix,Pix,1,>80000,201488.65,0.0,0.0
2025-01-01,PJ,tap,debit,D0/Nitro,1,<=20000,5.15,0.0279,0.143685
2025-01-01,PJ,pix,pix,Pix,1,>80000,284027.1,0.0,0.0
2025-01-01,PJ,pos,debit,D0/Nitro,1,>80000,128779.98,0.0279,3592.9614420000003
2025-01-01,PJ,pos,debit,D0/Nitro,1,40001-80000,60014.49,0.0279,1674.404271
2025-01-01,PF,link,credit,D1Anticipation,1,<=20000,691.55,0.042,29.0451
2025-01-01,PJ,pix,pix,Pix,1,>80000,1018577.84,0.0,0.0
2025-01-01,PJ,tap,debit,D0/Nitro,1,<=20000,752.5,0.0279,20.99475
2025-01-01,PJ,bank_slip,bank_slip,BankSlip,1,<=20000,247.69,0.0,0.0
2025-01-01,PJ,tap,debit,D1Anticipation,1,>80000,135769.24,0.0094,1276.230856
2025-01-01,PJ,pos,credit,D0/Nitro,1,>80000,638858.45,0.0599,38267.621155
2025-01-01,PJ,pos,credit,D0/Nitro,1,20001-40000,22498.53,0.0599,1347.661947
2025-01-01,PJ,pos,credit,D1Anticipation,2,<=20000,19713.75,0.0557,1098.055875
2025-01-01,PJ,pos,credit,D0/Nitro,2,20001-40000,34811.73,0.1139,3965.0560470000005
2025-01-01,PF,link,credit,D1Anticipation,2,<=20000,4791.83,0.0609,291.822447
2025-01-01,PJ,link,credit,D1Anticipation,2,>80000,121264.13,0.0609,7384.985517000001
2025-01-01,PJ,pos,credit,D1Anticipation,2,>80000,301733.03,0.0425,12823.653775000002
2025-01-01,PF,tap,credit,D1Anticipation,2,>80000,444666.44,0.0425,18898.3237
2025-01-01,PJ,pos,credit,D0/Nitro,2,<=20000,3729.97,0.1139,424.84358299999997
2025-01-01,PJ,link,credit,D0/Nitro,2,<=20000,499.0,0.1089,54.3411
2025-01-01,PJ,pos,credit,D1Anticipation,2,>80000,94373.49,0.0425,4010.8733250000005
2025-01-01,PJ,tap,credit,D1Anticipation,2,<=20000,6673.96,0.0557,371.739572
2025-01-01,PJ,tap,credit,D0/Nitro,2,40001-80000,45749.01,0.1139,5210.812239
2025-01-01,PJ,link,credit,D1Anticipation,2,<=20000,3480.02,0.0609,211.933218
2025-01-01,PJ,tap,credit,D1Anticipation,2,20001-40000,26025.4,0.0453,1178.95062
2025-01-01,PF,link,credit,D0/Nitro,2,>80000,140975.18,0.1089,15352.197101999998
2025-01-01,PF,tap,credit,D0/Nitro,2,>80000,478184.02,0.1139,54465.159878000006
2025-01-01,PJ,tap,credit,D1Anticipation,2,>80000,147547.54,0.0425,6270.770450000001
2025-01-01,PF,pos,credit,D1Anticipation,2,<=20000,3481.22,0.0557,193.903954
2025-01-01,PF,link,credit,D1Anticipation,2,>80000,110929.88,0.0609,6755.629692
2025-01-01,PJ,link,credit,D0/Nitro,2,<=20000,1605.27,0.1089,174.81390299999998
2025-01-01,PJ,pos,credit,D1Anticipation,2,20001-40000,39636.47,0.0453,1795.532091
2025-01-01,PJ,tap,credit,D1Anticipation,2,20001-40000,23549.01,0.0453,1066.770153
2025-01-01,PJ,tap,credit,D0/Nitro,2,<=20000,450.0,0.1139,51.255
2025-01-01,PJ,pos,credit,D0/Nitro,2,<=20000,280.4,0.1139,31.937559999999998
2025-01-01,PJ,link,credit,D0/Nitro,2,40001-80000,52660.67,0.1089,5734.746963
2025-01-01,PJ,link,credit,D1Anticipation,2,<=20000,5028.09,0.0609,306.210681
2025-01-01,PJ,link,credit,D1Anticipation,2,<=20000,9808.82,0.0609,597.357138
2025-01-01,PF,tap,credit,D1Anticipation,2,<=20000,3443.78,0.0557,191.818546
2025-01-01,PF,pos,credit,D0/Nitro,2,<=20000,840.0,0.1139,95.676
2025-01-01,PJ,pos,credit,D1Anticipation,3,>80000,91244.12,0.0477,4352.344524
2025-01-01,PJ,link,credit,D1Anticipation,3,<=20000,19730.75,0.0701,1383.125575
2025-01-01,PF,link,credit,D1Anticipation,3,>80000,137203.98,0.0701,9617.998998000001
2025-01-01,PJ,link,credit,D1Anticipation,3,<=20000,19375.37,0.0701,1358.2134369999999
2025-01-01,PF,pos,credit,D0/Nitro,3,<=20000,500.0,0.1249,62.449999999999996
2025-01-01,PJ,link,credit,D1Anticipation,3,>80000,154237.97,0.0701,10812.081697
2025-01-01,PF,link,credit,D0/Nitro,3,>80000,111295.72,0.1199,13344.356828000002
2025-01-01,PJ,tap,credit,D0/Nitro,3,20001-40000,38288.29,0.1249,4782.207421
2025-01-01,PJ,link,credit,D0/Nitro,3,<=20000,694.0,0.1199,83.2106
2025-01-01,PJ,tap,credit,D1Anticipation,3,<=20000,8960.0,0.063,564.48
2025-01-01,PJ,tap,credit,D1Anticipation,3,>80000,192747.14,0.0477,9194.038578
2025-01-01,PF,tap,credit,D0/Nitro,3,>80000,372933.55,0.1249,46579.400395
2025-01-01,PJ,pos,credit,D0/Nitro,3,<=20000,17207.1,0.1249,2149.1667899999998
2025-01-01,PJ,pos,credit,D1Anticipation,3,20001-40000,25223.94,0.0514,1296.510516
2025-01-01,PJ,tap,credit,D1Anticipation,3,20001-40000,31628.02,0.0514,1625.6802280000002
2025-01-01,PJ,link,credit,D1Anticipation,3,<=20000,6990.0,0.0701,489.99899999999997
2025-01-01,PJ,pos,credit,D1Anticipation,3,>80000,236370.93,0.0477,11274.893361
2025-01-01,PJ,pos,credit,D0/Nitro,3,<=20000,2561.82,0.1249,319.971318
2025-01-01,PF,pos,credit,D1Anticipation,3,<=20000,2182.0,0.063,137.466
2025-01-01,PF,tap,credit,D1Anticipation,3,>80000,473751.98,0.0477,22597.969446
2025-01-01,PJ,pos,credit,D1Anticipation,3,20001-40000,36606.54,0.0514,1881.576156
2025-01-01,PJ,tap,credit,D1Anticipation,3,<=20000,7646.1,0.063,481.70430000000005
2025-01-01,PJ,link,credit,D0/Nitro,3,20001-40000,27140.18,0.1199,3254.107582
2025-01-01,PF,tap,credit,D1Anticipation,3,<=20000,4905.06,0.063,309.01878000000005
2025-01-01,PJ,link,credit,D0/Nitro,4,<=20000,707.0,0.1259,89.0113
2025-01-01,PF,link,credit,D0/Nitro,4,>80000,87306.95,0.1259,10991.945005000001
2025-01-01,PJ,tap,credit,D1Anticipation,4,20001-40000,28488.43,0.0574,1635.235882
2025-01-01,PJ,tap,credit,D1Anticipation,4,20001-40000,31541.27,0.0574,1810.468898
2025-01-01,PJ,link,credit,D0/Nitro,4,<=20000,4506.92,0.1259,567.421228
2025-01-01,PJ,pos,credit,D1Anticipation,4,20001-40000,25515.28,0.0574,1464.5770719999998
2025-01-01,PJ,pos,credit,D0/Nitro,4,<=20000,950.0,0.1309,124.35499999999999
2025-01-01,PJ,link,credit,D1Anticipation,4,>80000,138418.05,0.0791,10948.867755
2025-01-01,PF,pos,credit,D0/Nitro,4,<=20000,480.0,0.1309,62.831999999999994
2025-01-01,PF,tap,credit,D1Anticipation,4,<=20000,10549.64,0.0703,741.639692
2025-01-01,PF,link,credit,D1Anticipation,4,<=20000,5000.0,0.0791,395.5
2025-01-01,PF,tap,credit,D0/Nitro,4,>80000,364143.11,0.1309,47666.333098999996
2025-01-01,PJ,link,credit,D1Anticipation,4,<=20000,8841.96,0.0791,699.3990359999999
2025-01-01,PJ,tap,credit,D1Anticipation,4,20001-40000,24370.0,0.0574,1398.838
2025-01-01,PJ,link,credit,D1Anticipation,4,<=20000,15301.21,0.0791,1210.325711
2025-01-01,PJ,tap,credit,D1Anticipation,4,>80000,161588.06,0.0528,8531.849568
2025-01-01,PJ,link,credit,D1Anticipation,4,<=20000,1700.0,0.0791,134.47
2025-01-01,PJ,pos,credit,D1Anticipation,4,>80000,266436.78,0.0528,14067.861984000001
2025-01-01,PJ,pos,credit,D1Anticipation,4,40001-80000,57274.65,0.0551,3155.833215
2025-01-01,PJ,pos,credit,D0/Nitro,4,<=20000,2124.42,0.1309,278.086578
2025-01-01,PJ,pos,credit,D0/Nitro,4,<=20000,19014.18,0.1309,2488.956162
2025-01-01,PJ,link,credit,D0/Nitro,4,20001-40000,24408.29,0.1259,3073.0037110000003
2025-01-01,PF,link,credit,D1Anticipation,4,>80000,105998.33,0.0791,8384.467903
2025-01-01,PJ,link,credit,D0/Nitro,4,<=20000,600.0,0.1259,75.54
2025-01-01,PJ,tap,credit,D0/Nitro,4,20001-40000,33163.47,0.1309,4341.098223
2025-01-01,PJ,pos,credit,D1Anticipation,4,<=20000,7505.98,0.0703,527.670394
2025-01-01,PF,pos,credit,D1Anticipation,4,<=20000,2991.7,0.0703,210.31651
2025-01-01,PF,tap,credit,D0/Nitro,4,<=20000,10672.03,0.1309,1396.968727
2025-01-01,PF,tap,credit,D1Anticipation,4,>80000,558878.76,0.0528,29508.798528
2025-01-01,PF,link,credit,D0/Nitro,5,40001-80000,64515.57,0.1329,8574.119252999999
2025-01-01,PJ,tap,credit,D1Anticipation,5,20001-40000,26538.88,0.0635,1685.2188800000001
2025-01-01,PJ,link,credit,D1Anticipation,5,<=20000,3795.0,0.088,333.96
2025-01-01,PJ,tap,credit,D1Anticipation,5,<=20000,14950.93,0.0774,1157.201982
2025-01-01,PF,tap,credit,D0/Nitro,5,>80000,264308.33,0.1379,36448.118707
2025-01-01,PF,link,credit,D1Anticipation,5,>80000,82747.36,0.088,7281.76768
