installments,tpv,transactions,avg_ticket
1,3714722739.99,33671131.0,110.32366985207595
2,1346500416.5900002,3991874.0,337.3103501237765
3,1581513407.17,2671117.0,592.079421144787
4,1130601851.33,1323322.0,854.3663986013986
5,996292283.49,900384.0,1106.5193111938906
6,1022770077.24,735838.0,1389.9391948227735
7,232709241.05,156756.0,1484.5316354716886
8,414694198.19,234731.0,1766.6784454971862
9,115950824.37,63148.0,1836.1757200544753
10,2209246830.1099997,984839.0,2243.2568471699433
11,44880637.92,18517.0,2423.7531954420265
12,1623040040.69,568903.0,2852.929305505508
