installments,tpv,transactions,avg_ticket,tpv_share,tx_share
1,3714722739.99,33671131,110.32366985207595,0.25737841574357534,0.742954875226608
2,1346500416.59,3991874,337.3103501237764,0.09329367715366324,0.08808086219587755
3,1581513407.17,2671117,592.079421144787,0.10957679582184225,0.058938305263659584
4,1130601851.33,1323322,854.3663986013986,0.07833492125790578,0.029199153761559876
5,996292283.49,900384,1106.5193111938906,0.06902914362402604,0.019867009586818873
6,1022770077.24,735838,1389.9391948227735,0.070863685011031,0.016236295403234204
7,232709241.05,156756,1484.5316354716886,0.016123500993912677,0.0034588275166944097
8,414694198.19,234731,1766.6784454971862,0.028732517396030954,0.005179349063647934
9,115950824.37,63148,1836.1757200544753,0.008033773061779702,0.0013933631888043748
10,2209246830.11,984839,2243.2568471699437,0.1530699567423862,0.021730512597373023
11,44880637.92,18517,2423.7531954420265,0.0031096015218195607,0.0004085783582550613
12,1623040040.69,568903,2852.929305505508,0.11245401167202719,0.012552867837467145
