day,entity,product,payment_method,anticipation_method,installments,monthly_tier,amount_transacted,fee_revenue,effective_fee_rate
2025-01-01,PJ,pix,Pix,Pix,1,>80000,546030.68,0.0,0.0
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,574568.13,17122.130274,0.029799999999999997
2025-01-01,PJ,tap,credit,D0/Nitro,1,>80000,342178.87,20496.514313,0.0599
2025-01-01,PJ,tap,debit,D1Anticipation,1,<=20000,1183.21,18.576397,0.0157
2025-01-01,PJ,tap,credit,D0/Nitro,1,<=20000,10158.11,608.4707890000001,0.0599
2025-01-01,PF,pos,credit,D1Anticipation,1,20001-40000,21091.2,670.7001600000001,0.0318
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,937656.46,27942.162508,0.029800000000000004
2025-01-01,PF,link,credit,D1Anticipation,1,>80000,179109.81,9833.128569,0.054900000000000004
2025-01-01,PJ,tap,debit,D1Anticipation,1,<=20000,17833.09,279.979513,0.0157
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,368073.8,10968.59924,0.0298
2025-01-01,PJ,link,credit,D0/Nitro,1,>80000,90199.56,3788.38152,0.042
2025-01-01,PF,pos,debit,D0/Nitro,1,<=20000,19416.25,541.713375,0.0279
2025-01-01,PJ,tap,debit,D1Anticipation,1,<=20000,5863.04,92.049728,0.0157
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,930759.29,8749.137326,0.0094
2025-01-01,PJ,tap,credit,D1Anticipation,1,>80000,527122.43,15708.248414000002,0.0298
2025-01-01,PJ,bank_slip,BankSlip,BankSlip,1,20001-40000,34587.57,0.0,0.0
2025-01-01,PJ,tap,credit,D0/Nitro,1,<=20000,1095.26,65.606074,0.05990000000000001
2025-01-01,PJ,pos,credit,D1Anticipation,1,>80000,2659934.62,79266.051676,0.0298
2025-01-01,PJ,pos,debit,D0/Nitro,1,<=20000,16029.07,447.211053,0.0279
2025-01-01,PJ,link,credit,D1Anticipation,1,<=20000,19246.12,1056.611988,0.05490000000000001
2025-01-01,PJ,link,credit,D0/Nitro,1,<=20000,531.86,22.338120000000004,0.042
2025-01-01,PJ,tap,credit,D0/Nitro,1,<=20000,226.21,13.549979,0.0599
2025-01-01,PJ,link,credit,D1Anticipation,1,<=20000,18916.19,1038.498831,0.05490000000000001
2025-01-01,PJ,pix,Pix,Pix,1,>80000,5460676.67,0.0,0.0
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,4638274.62,43599.781428,0.0094
2025-01-01,PF,tap,debit,D1Anticipation,1,>80000,565775.14,5318.286316000001,0.0094
2025-01-01,PF,pos,debit,D1Anticipation,1,40001-80000,42976.59,425.468241,0.0099
2025-01-01,PF,pos,credit,D0/Nitro,1,<=20000,8315.97,498.126603,0.0599
2025-01-01,PJ,tap,credit,D1Anticipation,1,40001-80000,51711.64,1592.718512,0.030799999999999998
2025-01-01,PF,bank_slip,BankSlip,BankSlip,1,40001-80000,52109.9,0.0,0.0
2025-01-01,PJ,tap,debit,D0/Nitro,1,<=20000,6144.56,171.43322400000002,0.0279
2025-01-01,PF,tap,credit,D1Anticipation,1,<=20000,7492.22,257.732368,0.0344
2025-01-01,PF,tap,credit,D1Anticipation,1,<=20000,3098.85,106.60044,0.0344
2025-01-01,PJ,tap,credit,D1Anticipation,1,>80000,100129.89,2983.870722,0.0298
2025-01-01,PF,tap,credit,D0/Nitro,1,<=20000,659.0,39.4741,0.0599
2025-01-01,PJ,link,credit,D1Anticipation,1,<=20000,11226.51,616.3353989999999,0.05489999999999999
2025-01-01,PF,tap,debit,D0/Nitro,1,>80000,2025293.62,56505.691998,0.0279
2025-01-01,PJ,link,credit,D1Anticipation,1,>80000,122406.13,6720.096537,0.0549
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,1674530.51,15740.586794,0.0094
2025-01-01,PJ,pos,debit,D1Anticipation,1,>80000,524579.78,4931.049932000001,0.0094
2025-01-01,PF,tap,credit,D1Anticipation,1,>80000,2123212.34,63271.727732,0.0298
2025-01-01,PJ,pos,debit,D0/Nitro,1,>80000,1334837.3,37241.96067,0.027899999999999998
2025-01-01,PJ,link,credit,D0/Nitro,1,<=20000,6471.86,271.81812,0.042
2025-01-01,PF,tap,credit,D0/Nitro,1,>80000,3967225.65,237636.816435,0.059899999999999995
2025-01-01,PJ,tap,debit,D0/Nitro,1,>80000,183912.09,5131.147311,0.027899999999999998
2025-01-01,PJ,pos,credit,D0/Nitro,1,<=20000,13483.54,807.6640460000001,0.0599
